case,z3,pz3
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_1.smt2,27,39
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_10.smt2,66,391
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_100.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_11.smt2,93,583
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_12.smt2,169,1060
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_13.smt2,340,2101
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_14.smt2,718,4304
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_15.smt2,1527,9661
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_16.smt2,3514,20576
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_17.smt2,7077,44950
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_18.smt2,17406,82583
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_19.smt2,39054,204770
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_2.smt2,28,183
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_20.smt2,105957,458321
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_21.smt2,317292,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_22.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_23.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_24.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_25.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_26.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_27.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_28.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_29.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_3.smt2,28,189
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_30.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_31.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_32.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_33.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_34.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_35.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_36.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_37.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_38.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_39.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_4.smt2,29,189
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_40.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_41.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_42.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_43.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_44.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_45.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_46.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_47.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_48.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_49.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_5.smt2,29,198
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_50.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_51.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_52.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_53.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_54.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_55.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_56.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_57.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_58.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_59.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_6.smt2,42,199
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_60.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_61.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_62.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_63.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_64.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_65.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_66.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_67.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_68.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_69.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_7.smt2,41,209
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_70.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_71.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_72.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_73.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_74.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_75.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_76.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_77.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_78.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_79.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_8.smt2,41,243
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_80.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_81.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_82.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_83.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_84.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_85.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_86.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_87.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_88.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_89.smt2,600000,600000
